1,WELCOME10,10.0,2025-04-13 23:32:58,2025-06-17 08:37:00,True
2,SALE20,20.0,2025-04-11 19:36:08,2025-06-06 17:01:18,True
3,SPECIAL25,25.0,2025-04-08 21:15:38,2025-06-22 06:19:38,True
4,HOLIDAY30,30.0,2025-04-14 16:55:49,2025-06-23 17:29:36,True
5,FLASH50,50.0,2025-04-12 02:40:20,2025-06-20 10:47:58,True
6,FBI56RM,35.07,2025-03-26 00:51:12,2025-06-18 22:10:23,True
7,VWJ89OS,15.74,2025-03-08 03:32:51,2025-06-21 19:38:09,True
8,OFR77UJ,34.76,2025-03-21 02:56:18,2025-05-19 05:20:57,True
9,YMS49BD,35.41,2025-03-10 02:35:08,2025-05-29 11:56:12,True
10,BHM83EA,32.03,2025-04-09 01:24:32,2025-06-02 18:00:10,True
11,HYO00WN,31.63,2025-04-06 15:54:21,2025-05-16 20:00:36,True
12,VWG03YG,17.08,2025-04-04 18:34:21,2025-07-20 20:18:27,True
13,RGK20MK,16.07,2025-03-10 01:07:27,2025-06-05 00:06:59,True
14,TXS13CV,37.05,2025-03-12 08:46:12,2025-04-26 03:37:27,True
15,GPZ71YC,21.49,2025-03-06 11:50:31,2025-05-02 18:52:46,True
16,JPL49YL,30.01,2025-04-19 11:01:13,2025-06-11 17:10:17,True
17,NGK07LB,22.94,2025-03-28 04:16:08,2025-04-17 11:17:47,True
18,GAS29SS,26.05,2025-03-21 14:29:13,2025-05-05 11:08:51,True
19,KPV66NC,13.06,2025-03-12 19:40:39,2025-07-17 18:26:18,True
20,MIJ47RO,39.3,2025-03-31 08:11:12,2025-07-18 07:24:31,True
