1,420,157,732,22.81,2,cancelled,2025-02-19 02:52:44
2,517,196,767,304.35,5,shipped,2024-09-02 00:56:45
3,18,30,707,390.81,4,delivered,2025-02-12 22:17:20
4,487,142,497,55.00,2,cancelled,2024-09-27 20:03:37
5,26,180,794,58.89,3,delivered,2025-01-21 21:39:25
6,168,82,694,185.72,4,delivered,2025-04-03 21:34:06
7,257,109,143,12.75,1,delivered,2025-04-10 08:58:32
8,503,59,883,346.77,5,delivered,2024-07-20 04:08:10
9,991,135,484,34.65,1,shipped,2024-08-02 17:33:40
10,640,134,62,257.94,3,processing,2025-04-15 11:54:26
11,716,192,713,205.48,3,delivered,2024-07-30 16:50:20
12,131,178,906,36.76,2,pending,2024-05-19 19:49:09
13,657,30,895,54.31,1,pending,2025-03-04 10:08:43
14,826,187,335,30.47,1,processing,2024-05-31 19:00:21
15,596,71,602,67.08,5,delivered,2025-02-15 01:19:28
16,620,195,459,99.59,1,cancelled,2025-03-19 05:02:38
17,794,179,182,104.41,2,processing,2024-11-15 13:08:27
18,854,93,204,172.14,2,shipped,2024-06-05 03:10:55
19,422,66,682,229.63,3,shipped,2024-05-28 08:12:02
20,162,155,512,190.51,2,cancelled,2024-11-02 19:35:11
21,502,193,931,58.80,4,pending,2025-03-06 00:57:54
22,214,141,467,66.97,1,shipped,2024-09-26 21:41:48
23,440,35,492,133.55,2,delivered,2024-05-29 01:46:29
24,582,183,33,66.98,1,shipped,2024-06-02 01:08:54
25,7,136,939,28.05,3,pending,2024-07-14 10:28:59
26,42,61,648,142.50,3,delivered,2024-05-23 17:28:14
27,625,189,833,102.49,2,shipped,2024-11-02 08:17:52
28,730,173,301,195.04,2,pending,2024-11-09 16:22:23
29,589,192,675,7.10,1,shipped,2024-06-30 02:23:08
30,52,130,901,205.76,3,cancelled,2024-07-11 00:18:25
31,868,197,34,283.28,5,pending,2024-10-18 13:15:09
32,430,53,123,176.04,3,processing,2024-08-24 05:48:08
33,978,60,418,81.42,1,processing,2024-12-03 23:55:23
34,394,182,758,28.93,1,pending,2024-06-23 06:50:56
35,639,127,555,98.71,1,cancelled,2024-09-24 15:32:58
36,330,115,137,287.63,4,cancelled,2025-04-10 14:46:11
37,585,156,654,50.06,1,delivered,2024-12-23 12:12:52
38,7,186,161,435.84,5,processing,2024-06-17 09:13:22
39,524,113,847,133.68,2,cancelled,2025-01-22 13:00:24
40,647,16,387,83.92,1,shipped,2024-05-17 15:06:42
41,669,117,421,68.97,1,pending,2025-02-07 20:27:04
42,4,177,504,83.46,3,cancelled,2024-08-06 16:02:15
43,918,74,898,134.63,2,processing,2024-09-07 11:26:36
44,527,190,127,154.46,3,pending,2024-12-06 05:07:10
45,870,74,214,60.12,2,delivered,2024-12-31 12:46:20
46,491,30,820,158.34,5,processing,2024-12-29 12:34:57
47,544,3,647,66.65,3,shipped,2024-08-03 23:15:39
48,203,63,902,355.04,4,cancelled,2024-10-01 22:28:22
49,104,109,436,84.49,3,pending,2025-03-05 20:47:46
50,605,177,798,278.16,3,processing,2024-07-14 08:43:11
51,266,190,487,68.21,1,cancelled,2025-03-16 05:19:41
52,675,7,69,83.75,1,delivered,2025-02-18 01:34:39
53,464,29,151,200.01,5,shipped,2024-11-17 20:18:45
54,502,48,241,337.34,4,processing,2024-12-25 19:04:10
55,473,121,296,127.13,4,processing,2024-06-07 04:11:37
56,46,39,257,134.25,2,processing,2024-10-31 11:30:07
57,918,142,538,36.60,1,cancelled,2024-10-15 22:46:17
58,628,142,633,123.98,3,delivered,2024-09-25 02:07:38
