1,128,1142,230.59,78,2025-03-10 06:35:52,published,50
2,152,1418,21.45,601,2024-06-22 18:05:48,published,50
3,140,1089,476.38,788,2024-11-12 15:42:13,published,50
4,140,41,328.44,685,2025-03-16 00:30:55,published,50
5,168,802,123.33,38,2024-07-26 07:30:40,published,50
6,111,662,447.60,713,2024-07-28 04:32:18,published,50
7,36,370,10.32,362,2024-05-09 02:46:13,published,50
8,71,1436,88.24,632,2025-04-02 10:45:08,published,50
9,163,490,77.74,602,2025-03-02 20:20:51,published,50
10,63,923,409.36,325,2024-06-26 02:54:57,published,50
11,172,1444,155.92,51,2024-07-01 03:16:44,published,50
12,87,1487,180.92,565,2025-01-23 03:43:25,published,50
13,147,1074,355.60,294,2024-12-23 06:16:04,published,50
14,169,1163,361.65,847,2024-05-31 10:22:59,published,50
15,139,275,34.68,767,2024-10-25 21:08:05,published,50
16,139,1398,192.86,886,2025-03-03 18:10:47,published,50
17,156,1066,50.07,382,2025-04-17 18:40:29,published,50
18,149,1768,369.55,126,2025-01-23 19:36:12,published,50
19,120,437,77.01,697,2024-10-27 10:55:27,published,50
20,105,1892,96.54,761,2025-03-19 10:55:52,published,50
21,134,318,273.08,811,2024-09-13 08:03:09,published,50
22,154,678,457.09,130,2025-03-17 15:46:11,published,50
23,177,1067,359.82,303,2024-12-24 16:20:22,published,50
24,9,762,58.11,571,2024-09-06 10:47:03,published,50
25,121,442,234.14,614,2024-05-12 21:15:52,published,50
26,200,191,353.16,376,2024-11-03 05:18:32,published,50
27,135,1145,105.19,260,2024-11-03 19:49:01,published,50
28,146,308,435.65,839,2024-12-30 23:17:14,published,50
29,46,1765,481.29,148,2024-05-08 16:07:32,published,50
31,90,1206,277.53,981,2024-09-29 09:34:32,published,50
32,81,1684,340.90,257,2025-01-08 11:01:49,published,50
33,42,1589,386.58,545,2024-07-26 02:12:44,published,50
34,106,471,367.38,746,2025-04-10 06:58:53,published,50
35,151,1301,363.44,81,2025-02-04 21:47:38,published,50
36,3,747,291.27,617,2025-02-28 03:15:31,published,50
37,128,1561,253.16,801,2024-10-18 03:34:04,published,50
38,39,1775,231.38,915,2024-05-12 19:44:00,published,50
39,79,919,175.82,22,2025-02-13 23:03:19,published,50
40,170,843,240.95,630,2024-07-13 01:45:06,published,50
41,52,720,244.10,517,2024-06-12 13:49:04,published,50
42,80,215,24.73,629,2024-10-20 16:34:24,published,50
43,99,1427,54.75,426,2024-10-23 04:52:43,published,50
44,162,673,179.61,542,2025-01-30 12:34:34,published,50
45,193,1313,422.17,107,2024-09-26 08:13:09,published,50
