1,981,493,2,54.26,108.52,delivered,2025-04-26 05:39:30
2,1327,435,1,65.51,65.51,cancelled,2024-10-21 07:41:19
3,166,315,2,107.73,215.46,cancelled,2025-03-07 18:00:19
4,1001,1724,5,38.40,192.00,cancelled,2025-01-03 05:09:40
5,684,866,5,21.13,105.65,processing,2024-09-02 22:45:23
6,271,414,5,199.91,999.55,delivered,2024-08-23 16:39:46
7,1258,352,3,180.02,540.06,shipped,2024-11-09 21:40:14
8,930,1347,3,78.73,236.19,processing,2024-10-06 23:10:00
9,1236,128,1,101.11,101.11,delivered,2025-03-13 18:17:06
10,321,121,3,10.13,30.39,cancelled,2024-09-06 00:51:37
11,665,151,5,90.65,453.25,delivered,2024-12-04 08:45:53
12,982,1132,1,112.76,112.76,delivered,2024-10-07 15:31:43
13,557,516,4,121.77,487.08,cancelled,2024-11-10 16:12:43
14,1160,424,5,154.26,771.30,delivered,2024-09-08 03:00:38
15,1323,411,4,60.74,242.96,delivered,2024-12-06 20:03:54
16,88,650,5,170.26,851.30,cancelled,2024-11-06 02:07:25
17,78,1956,3,92.36,277.08,pending,2025-01-08 18:45:10
18,808,102,5,27.90,139.50,processing,2024-10-03 15:05:25
19,1472,1757,1,158.66,158.66,pending,2025-03-13 16:06:53
20,758,1231,5,14.40,72.00,delivered,2024-09-08 10:41:54
21,522,607,5,153.42,767.10,cancelled,2024-09-18 16:40:32
22,859,1262,3,160.06,480.18,processing,2024-06-18 02:07:17
23,1258,589,2,114.43,228.86,delivered,2024-12-06 08:15:50
24,163,1281,3,144.08,432.24,pending,2024-05-28 19:03:33
25,1220,960,4,98.91,395.64,processing,2025-01-01 14:41:32
26,819,1155,1,197.30,197.30,cancelled,2024-07-22 00:33:48
27,182,1549,1,32.75,32.75,shipped,2025-04-25 13:41:41
28,8,1342,1,58.36,58.36,delivered,2024-10-01 10:50:39
29,1023,1017,3,35.76,107.28,processing,2024-11-05 21:52:21
30,1083,1692,4,44.76,179.04,cancelled,2024-09-28 20:43:25
31,1058,1372,4,191.55,766.20,processing,2024-05-04 15:09:15
32,815,498,4,73.03,292.12,shipped,2024-11-24 08:18:18
33,1257,1283,5,180.88,904.40,shipped,2024-10-14 06:31:44
34,1070,88,4,142.63,570.52,cancelled,2024-05-07 15:53:13
35,972,858,4,170.62,682.48,cancelled,2025-01-20 18:23:47
