1,181,116.77,4,cancelled,2024-08-06 08:37:06
2,407,53.54,1,shipped,2024-10-10 19:24:42
3,560,310.15,5,pending,2024-12-11 12:58:25
4,346,545.67,9,pending,2025-02-23 01:43:51
5,961,318.32,4,shipped,2024-10-17 15:11:40
6,857,97.91,1,delivered,2024-12-17 04:00:09
7,546,534.33,6,shipped,2024-07-26 12:13:57
8,388,896.98,10,shipped,2024-06-03 06:55:39
9,946,299.67,3,pending,2024-12-26 07:45:13
10,354,206.73,6,delivered,2024-12-20 11:54:38
11,886,142.89,2,processing,2024-07-13 21:39:44
12,651,585.48,7,delivered,2024-11-11 23:26:54
13,206,122.21,6,pending,2024-07-07 03:57:25
14,531,222.73,3,processing,2025-01-11 08:38:03
15,288,575.22,6,cancelled,2024-07-02 19:46:01
16,769,60.11,6,pending,2024-10-30 19:26:44
17,440,247.56,5,delivered,2025-04-25 00:17:46
18,448,70.73,1,cancelled,2024-07-27 10:13:38
19,632,75.63,7,shipped,2024-12-25 15:12:56
20,619,702.65,10,delivered,2025-04-06 12:18:42
21,54,398.92,5,shipped,2025-03-05 03:11:08
22,470,157.74,4,delivered,2024-05-11 04:00:08
23,275,162.69,5,processing,2024-11-23 21:15:06
24,841,440.39,7,pending,2025-03-29 18:49:19
25,533,124.92,2,cancelled,2024-06-19 17:22:21
26,524,30.71,1,pending,2024-11-28 14:16:11
27,348,131.54,4,shipped,2024-12-04 08:05:09
28,253,44.09,5,pending,2024-08-01 06:10:52
29,125,670.00,9,delivered,2024-07-26 08:37:48
30,470,145.92,2,pending,2025-02-22 06:20:30
31,405,28.56,3,shipped,2025-02-12 03:44:08
32,540,149.71,2,cancelled,2024-08-03 11:19:27
33,582,667.80,8,shipped,2024-06-02 01:08:54
34,868,509.81,9,pending,2024-10-18 13:15:09
35,139,87.12,1,delivered,2024-09-17 14:46:50
36,249,272.30,5,cancelled,2024-06-27 12:28:53
37,363,628.26,7,processing,2025-04-17 22:00:55
38,202,414.58,7,processing,2025-02-15 18:51:55
39,425,285.01,3,processing,2024-12-18 17:08:15
40,700,336.08,4,shipped,2024-08-02 09:27:47
41,547,340.92,7,pending,2024-06-21 08:07:30
42,819,847.95,10,processing,2025-01-15 06:35:46
43,422,138.15,2,pending,2024-07-18 02:28:37
44,54,156.43,2,delivered,2024-10-16 06:54:48
45,455,253.76,8,shipped,2024-10-15 01:54:49
46,86,575.87,7,processing,2024-12-03 12:13:19
47,701,71.45,1,pending,2024-08-11 21:16:23
48,458,321.62,9,cancelled,2024-10-16 05:24:31
49,235,350.28,6,pending,2024-06-18 00:18:55
50,440,132.78,2,cancelled,2024-06-21 21:10:19
51,448,636.87,7,shipped,2024-08-31 21:29:58
52,505,249.68,3,pending,2025-02-21 23:09:48
53,124,106.83,8,processing,2024-10-08 10:05:37
54,236,415.90,6,pending,2024-07-24 05:47:46
55,783,292.70,4,cancelled,2025-01-13 17:21:31
56,917,76.12,3,pending,2025-04-13 02:25:15
57,395,172.48,6,pending,2024-10-14 03:25:12
58,381,475.39,5,cancelled,2025-04-09 09:42:14
59,152,79.72,1,pending,2025-04-30 05:38:12
60,990,267.69,8,delivered,2025-03-20 00:30:47
61,247,183.96,10,pending,2024-12-20 06:18:20
62,640,629.70,7,processing,2025-04-15 11:54:26
63,864,312.29,6,delivered,2024-08-28 22:21:27
64,165,47.83,2,shipped,2025-02-08 23:58:36
65,510,69.88,3,processing,2024-09-26 16:07:22
66,507,278.65,10,shipped,2025-04-03 08:10:20
67,67,611.84,7,shipped,2025-01-16 03:17:24
68,611,350.52,4,cancelled,2024-11-24 00:35:36
69,675,199.58,4,delivered,2025-02-18 01:34:39
70,886,190.62,10,processing,2024-05-07 06:17:47
71,145,30.08,2,cancelled,2025-01-10 01:23:13
72,952,691.28,9,cancelled,2024-07-13 09:27:09
73,92,443.48,5,delivered,2025-02-27 01:09:34
74,310,135.31,2,cancelled,2024-09-02 23:44:47
75,201,341.03,5,shipped,2024-12-23 23:10:48
76,859,37.94,1,cancelled,2024-12-04 07:35:14
77,868,190.77,9,shipped,2024-11-01 02:35:31
78,801,380.09,6,shipped,2024-12-04 12:53:42
79,588,749.04,9,shipped,2024-08-23 15:28:30
80,204,87.31,2,processing,2025-04-21 05:33:10
81,499,195.31,3,shipped,2024-10-02 23:04:14
82,907,524.46,6,processing,2024-12-28 23:34:47
83,706,416.79,5,delivered,2024-09-18 05:04:06
84,856,416.46,5,pending,2024-08-30 01:18:52
85,964,186.45,7,cancelled,2025-03-08 19:55:22
86,188,979.00,10,pending,2025-03-15 10:47:31
87,758,717.19,10,shipped,2024-06-09 09:27:05
88,878,61.89,1,shipped,2025-01-20 18:58:44
89,377,48.25,5,processing,2024-07-10 07:56:13
90,285,91.99,1,pending,2024-05-04 17:34:44
91,951,603.57,9,processing,2024-05-08 13:07:38
92,9,319.07,6,shipped,2024-07-08 21:00:17
93,832,238.53,5,pending,2024-05-05 13:42:07
94,803,409.45,5,cancelled,2025-01-03 20:25:10
95,9,471.07,7,delivered,2025-01-21 18:41:02
96,120,621.97,9,delivered,2025-04-23 07:20:45
97,620,269.35,8,cancelled,2024-09-27 06:28:27
98,59,811.33,9,processing,2024-09-10 06:05:28
99,624,709.71,8,delivered,2024-12-25 15:48:35
100,684,457.25,8,delivered,2024-09-28 15:44:28
101,409,794.12,8,pending,2025-01-14 04:28:08
102,205,453.04,9,cancelled,2024-08-14 20:35:32
103,941,216.21,3,processing,2025-03-13 15:14:38
104,231,112.59,2,processing,2024-06-07 02:59:16
105,912,72.44,1,cancelled,2024-11-09 14:26:12
106,303,533.12,7,processing,2025-02-28 04:21:46
107,741,364.08,10,delivered,2024-12-12 23:13:13
108,922,184.54,9,cancelled,2025-02-28 07:46:36
109,209,237.34,5,processing,2024-07-20 01:39:39
110,718,150.38,5,shipped,2024-05-20 19:40:53
111,442,592.36,6,shipped,2024-08-08 17:10:07
112,419,796.53,9,pending,2025-01-30 09:08:48
113,880,492.96,7,pending,2025-01-26 23:56:43
114,364,811.65,9,cancelled,2024-09-25 08:33:05
115,145,96.36,3,pending,2024-11-29 00:43:24
116,963,230.99,7,processing,2024-09-27 20:04:46
117,981,191.57,3,cancelled,2024-10-22 14:50:55
118,119,237.97,6,processing,2024-12-12 01:50:48
119,25,352.33,4,pending,2024-05-02 21:02:32
120,736,888.88,10,processing,2025-01-15 00:41:36
121,381,300.98,10,pending,2025-02-18 10:21:46
122,710,25.04,4,cancelled,2024-09-04 10:52:20
123,430,189.25,6,processing,2024-08-24 05:48:08
124,788,58.01,4,cancelled,2024-12-04 22:13:16
125,29,271.02,6,processing,2024-08-03 21:02:38
126,306,444.95,5,cancelled,2024-07-13 09:29:51
127,527,491.03,6,pending,2024-12-06 05:07:10
128,977,239.09,4,shipped,2024-07-09 09:11:01
129,412,432.52,8,shipped,2024-09-19 08:17:54
130,483,128.78,7,cancelled,2024-10-25 10:59:47
131,65,30.90,1,cancelled,2024-05-24 03:27:33
132,410,373.48,4,pending,2025-01-31 22:36:34
133,417,859.49,9,shipped,2024-09-07 08:05:35
134,733,295.78,3,processing,2025-04-03 06:40:06
135,38,72.92,1,cancelled,2025-01-20 01:47:52
136,27,186.90,5,shipped,2025-03-09 19:17:06
137,330,415.00,5,cancelled,2025-04-10 14:46:11
138,695,265.39,4,processing,2025-02-10 22:06:57
139,394,358.11,4,cancelled,2024-06-13 06:13:44
