1,862,1603,114,5,148.48,742.40,pending,2024-07-14 05:16:06
2,525,603,81,5,13.46,67.30,shipped,2024-06-10 19:16:22
3,670,1895,121,4,187.91,751.64,shipped,2024-07-08 21:58:24
4,462,1815,67,5,53.35,266.75,shipped,2024-10-23 17:39:26
5,994,641,73,4,145.19,580.76,pending,2025-02-04 10:30:19
6,531,1046,158,3,65.65,196.95,shipped,2025-01-22 18:48:30
7,483,1064,123,2,189.56,379.12,pending,2025-03-26 05:57:48
8,765,1903,117,4,102.40,409.60,processing,2024-05-18 04:13:27
9,423,323,57,5,187.25,936.25,delivered,2024-07-21 08:18:39
10,683,977,76,2,115.17,230.34,pending,2025-02-21 05:27:51
11,474,486,74,2,127.21,254.42,processing,2024-05-23 08:40:22
12,587,1173,16,4,105.09,420.36,pending,2024-11-13 04:12:04
13,524,1207,133,4,89.36,357.44,cancelled,2025-04-29 06:13:08
14,396,1408,121,2,43.19,86.38,pending,2024-09-04 11:02:45
15,534,1835,135,2,144.70,289.40,shipped,2025-03-22 00:47:35
16,270,761,11,2,167.66,335.32,processing,2024-09-15 20:02:39
17,819,1617,69,3,151.03,453.09,shipped,2025-03-23 02:17:45
18,441,1293,178,4,181.12,724.48,pending,2025-01-01 02:38:31
19,753,878,132,3,85.87,257.61,shipped,2024-09-16 18:55:32
20,47,704,190,2,99.23,198.46,processing,2025-04-24 08:03:28
21,545,791,88,1,77.59,77.59,processing,2024-07-03 22:00:06
22,418,950,111,2,21.60,43.20,shipped,2024-06-27 13:35:23
23,358,496,181,2,141.40,282.80,pending,2024-05-29 14:25:44
24,497,1240,178,2,111.09,222.18,cancelled,2025-03-28 04:13:42
25,67,867,169,2,186.39,372.78,pending,2025-01-31 01:56:58
26,597,1675,192,3,89.42,268.26,pending,2024-07-15 17:07:19
27,522,518,110,1,160.92,160.92,cancelled,2025-01-25 21:51:27
28,476,1109,13,3,45.14,135.42,shipped,2024-11-13 06:26:10
29,366,919,79,4,164.91,659.64,cancelled,2025-03-11 23:00:22
30,537,1208,150,3,103.21,309.63,shipped,2025-03-05 20:14:59
31,75,365,145,3,21.40,64.20,processing,2025-04-02 14:38:33
32,522,1274,43,1,70.81,70.81,cancelled,2025-04-27 10:55:25
33,694,229,41,2,11.37,22.74,delivered,2024-06-28 03:45:12
34,621,985,174,4,155.16,620.64,processing,2024-05-15 23:55:44
35,212,755,121,2,181.76,363.52,processing,2024-06-26 08:02:29
36,51,476,164,1,16.40,16.40,shipped,2024-05-11 16:32:11
37,125,1132,34,3,157.00,471.00,pending,2024-08-28 06:08:15
38,413,69,44,5,197.59,987.95,shipped,2024-10-05 11:46:31
39,552,1299,88,2,173.96,347.92,delivered,2025-03-24 14:15:21
40,462,1182,117,5,49.18,245.90,shipped,2025-02-27 13:55:35
41,122,370,36,4,105.64,422.56,cancelled,2024-10-27 01:22:15
42,858,214,128,4,50.08,200.32,pending,2024-12-20 04:55:48
43,284,930,184,1,67.96,67.96,cancelled,2024-12-22 00:50:01
44,303,1638,170,4,127.05,508.20,cancelled,2024-10-05 00:55:54
45,33,923,121,5,119.93,599.65,processing,2025-04-25 17:19:59
